0.777187 0.717284 7.393699 0.000000 0.862916 0.534212 0.859997 0.600045 5.199747 0.001797
1.135220 0.510766 6.544572 -3.493369 1.173848 0.481073 1.119984 0.600225 5.199429 0.005390
1.480868 0.562708 6.076934 -2.778350 0.969149 0.397513 1.379955 0.600629 5.198979 0.010778
1.753944 0.453423 5.954931 -2.489097 1.650626 0.624690 1.639904 0.601347 5.198392 0.017960
1.968397 0.517476 5.613174 -1.061215 1.623309 0.499091 1.899823 0.602470 5.197661 0.026932
2.232590 0.503472 5.551642 -0.698863 2.188824 0.648739 2.159704 0.604086 5.196776 0.037693
2.426220 0.606544 5.163164 0.347563 1.967008 0.557116 2.419540 0.606284 5.195728 0.050239
2.677491 0.639606 5.110089 0.668996 2.655256 0.665980 2.679323 0.609155 5.194504 0.064565
2.938578 0.662483 5.114860 0.820872 2.920342 0.645898 2.939043 0.612786 5.193090 0.080668
3.162569 0.694598 5.027859 0.989404 3.012223 0.637046 3.198690 0.617267 5.191470 0.098541
3.451360 0.608960 5.153111 0.372948 3.560959 0.485311 3.458253 0.622686 5.189627 0.118180
3.748349 0.528884 5.210180 -0.104802 3.893650 0.311793 3.717722 0.629131 5.187542 0.139576
4.023784 0.595366 5.294605 0.315530 4.197862 0.698311 3.977082 0.636689 5.185194 0.162724
4.292744 0.601653 5.299475 0.344098 4.309346 0.578564 4.236322 0.645449 5.182560 0.187614
4.547311 0.641878 5.221071 0.515868 4.619083 0.689510 4.495424 0.655498 5.179618 0.214238
4.726611 0.756609 5.030495 0.977652 4.351431 0.899174 4.754374 0.666921 5.176340 0.242587
4.978156 0.756663 4.954110 0.893760 5.209015 0.665990 5.013155 0.679804 5.172700 0.272649
5.277582 0.746536 5.041602 0.780731 5.518935 0.648233 5.271746 0.694234 5.168671 0.304413
5.538484 0.757759 5.140832 0.770881 5.228345 0.639362 5.530128 0.710295 5.164221 0.337868
5.834379 0.763953 5.199978 0.725788 6.022003 0.708619 5.788279 0.728071 5.159319 0.372999
